#;Categorie;Aanbeveling;Koppeling;Status;Inspanning;Toelichting / Bewijs
C5;Prioriteit 2 (referentiearch.);Nullable reference types activeren bij migratie naar net481+;Onderhoudbaarheid;To do;3–4 uur;"<Nullable>enable</Nullable> in csproj; vervangt defensieve guards door compile-time checks."
C6;Prioriteit 2 (referentiearch.);Modelnaam in elke assistent-bubble-header (provenance per turn);OC-9;To do;1–2 uur;MessageHeaderConverter uitbreiden zodat ‘Ollama (codellama:13b-instruct)’ in plaats van het generieke ‘Ollama’ verschijnt.
C7;Prioriteit 2 (referentiearch.);Lichtgewicht micro-copy ‘review before use’ in bubble-header;OC-1, LLM09;To do;2 uur;"UX-vervolg op B3 zonder de banner-ruimte verder te belasten; alternatief voor de banner bij ervaren gebruikers."
C8;Prioriteit 2 (referentiearch.);VSIX-manifest aanvullen met expliciete defensie-scope of ‘internal use only’-tekst;Distributie;To do;30 min;"source.extension.vsixmanifest Description; relevant voor JIVC-distributie en voorkomt verwarring bij externe installatie."
C10;Prioriteit 2 (referentiearch.);Expliciete contextselectie via contextmenu toevoegen;OC-2, OC-9, FR-4, FR-7;To do;1–2 dagen;Huidige MVP kiest automatisch één contextfragment op basis van selectie/methode/bestand. Door right-clickacties toe te voegen zoals “Voeg selectie toe aan context”, “Voeg methode toe aan context” en “Voeg bestand toe aan context” wordt contextkeuze explicieter, wordt toevallige selectie minder risicovol en ontstaat ruimte voor meerdere contextfragmenten in een latere versie.
C10;Afgerond / v0.3-uitbreiding;Inline Apply-flow met native editor diff-preview;OC-1, OC-2, OC-5, OC-8, OC-9, FR-5, FR-7;Done;1–2 dagen;"De eerdere modale DiffPreviewWindow is vervangen als primair pad door een inline diff-preview in de Visual Studio-editor. De gebruiker kan een voorgestelde codewijziging via de Apply-knop direct in de editor beoordelen, accepteren met Tab of afwijzen met Esc/Alt+Del. De implementatie gebruikt ApplyTarget voor selectie-, methode- en full-file-targets, CodeApplier voor validatie en routing, en NativeInlineDiffPreviewService / Suggestions API voor inline weergave. Bij acceptatie wordt gecontroleerd of de buffer nog overeenkomt met de oorspronkelijke context; indien nodig commit de extensie de wijziging gecontroleerd via de editorbuffer. DiffPreviewWindow blijft beschikbaar als fallback bij API-falen."
C11;Afgerond / v0.3-uitbreiding;Method- en FullFile-Apply uitbreiden na stabiele Selection-only basis;OC-1, OC-2, OC-5, OC-8, OC-9, FR-5, FR-7;Done;2–4 dagen;Apply is uitgebreid van Selection-only naar Method- en FullFile-context. ContextProvider legt nu ook voor methodes en volledige bestanden een ApplyTarget vast met SpanStart, SpanLength, SnapshotVersion en OriginalText. CodeApplier gebruikt deze target voor stale-contextcontrole en toont de wijziging primair als inline diff-preview. Bij IncludeFile wordt een method-only antwoord niet blind op het hele bestand toegepast: de implementatie herkent één teruggegeven methode, matcht deze op naam en parameter-signature met Roslyn en retarget de apply naar de juiste methode. Bij ambiguïteit of mismatch wordt niet willekeurig vervangen. DiffPreviewWindow blijft fallback bij technische beperkingen van de inline preview.
C12;Prioriteit 2 (referentiearch.);Polymorf contextmodel introduceren;OC-2, OC-6, OC-7, FR-4, FR-7;Verschoven;1–2 dagen;Vervang ContextSelection met ContextKind enum en nullable velden door een IContext-interface met implementaties zoals SelectionContext, MethodContext, FullFileContext en later DiagnosticContex`. Laat elk contexttype zelf een promptblok en summary leveren, zodat PromptOrchestrator niet meer hoeft te switchen op contexttype. De promptblokken moeten expliciet afgebakend worden, bij voorkeur met een markdown-conforme structuur met fenced code blocks en metadata zoals taal, bestandsnaam en eventueel regels. Na analyse is een koppeling met C14 niet technisch noodzakelijk. De contextlabels in de FixedProtocolPrompt worden niet geraakt door C14. C12 kan onafhankelijk worden uitgevoerd in een toekomstige versie. Status: Deferred — niet vereist voor MVP v0.4. Na analyse is vastgesteld dat C12 onafhankelijk is van C14. De contextlabels in de FixedProtocolPrompt worden niet geraakt door de promptsplitsing. Binnen de huidige MVP-scope met drie vaste contexttypen biedt de bestaande ContextSelection-structuur voldoende functionaliteit. C12 kan onafhankelijk worden uitgevoerd in een toekomstige versie wanneer extra contexttypen (bijv. DiagnosticContext) worden toegevoegd.
C13;Afgerond / v0.3-uitbreiding;Backend-agnostisch chatcontract introduceren;OC-6, OC-7, NFR-1;Done;1–2 dagen;ILlmClient interface + LlmClientBase abstracte klasse + LlmClientSelector voor runtime backend-keuze. OllamaClient en OpenWebUIClient als implementaties. OpenAI-compatible chat-completions format.
C14;Afgerond / v0.4-uitbreiding;System prompt splitsen in vaste protocolprompt en configureerbare teaminstructie;OC-2, OC-3, OC-9, NFR-1;Done;0,5-1 dag;Gerealiseerd in v0.4. PromptOrchestrator.SystemPrompt gesplitst in FixedProtocolPrompt (contextlabels, fenced code block-regels, full-replacement-beleid, human-review-eis, prioriteitsclausule) en configureerbare AdditionalInstruction (default: AppDefaults.DefaultAdditionalInstruction). De vaste protocolprompt bevat een expliciete prioriteitsclausule die voorrang geeft aan de protocolregels wanneer de aanvullende instructie ermee in conflict komt. AdditionalInstruction is instelbaar via Tools → Options → LocalLLM → Prompt. IContextSettings uitgebreid met AdditionalInstruction property (InMemoryContextSettings, LocalLLMOptionsPage, SettingsProxy). Session-boundary fix: wijziging van AdditionalInstruction wist automatisch de gespreksgeschiedenis, identiek aan ModelName/BaseUrl/ConnectionType. Bewijs: 24 PromptOrchestratorAdditionalInstructionTests + 10 session-boundary tests in ChatWindowViewModelTests. Totaal 454 tests, 0 failures.
C15;Prioriteit 2 (referentiearch.);Inline Apply-flow uitbreiden met regressietests en compatibiliteitsmatrix per VS-versie;NFR-2, NFR-3, OC-1;To do;1-2 dagen;De inline diff-flow gebruikt Visual Studio’s Proposals/Suggestions API. Omdat delen van deze API beperkt gedocumenteerd zijn, is extra validatie nodig voor verschillende Visual Studio 2022-versies en scenario’s zoals overloads, full-file-refactors, reject-flow en undo.
C16;Afgerond / v0.4-spike;Mogelijkheid van streaming responses en reasoning-output onderzoeken;NFR-2, NFR-3, OC-1, OC-3, OC-6, OC-7, OC-8, OC-9;Done;1–2 dagen;"Protocol-spike uitgevoerd op Ollama /v1/chat/completions en LM Studio /v1/chat/completions met Qwen3-27B. Streaming is bij beide backends empirisch bevestigd als OpenAI-compatible SSE met data:-regels en data: [DONE]. LM Studio/Qwen3-27B bevestigt reasoning via dedicated reasoning_content in streaming en non-streaming responses. Native Ollama NDJSON valt buiten scope omdat LocalLLM de OpenAI-compatible route gebruikt. C# 8/9 compile-test is uitgevoerd; build en 247 tests slagen, maar streaming/reasoning blijft vooralsnog C# 7.3-compatible. OpenWebUI blijft een expliciet verificatiepunt omdat deze backend tijdens de spike niet draaide."
C17;Afgerond / v0.4-ontwerp;Technisch ontwerp voor streaming responses en optionele reasoning-output uitwerken;NFR-2, NFR-3, OC-1, OC-3, OC-6, OC-7, OC-8, OC-9;Done;0,5–1 dag;Technisch ontwerp uitgewerkt in docs/technical-design-streaming-reasoning.md. Ontwerp beschrijft StreamChatAsync naast bestaande SendChatAsync, IProgress<LlmStreamDelta>, universele OpenAI-compatible SSE-parser, LlmStreamResult, fallback naar non-streaming, cancellation/incomplete handling, mutable ChatMessageDisplay, reasoning-expander, throttled Markdown-rendering en Apply-safety. Correcties verwerkt: behoud van finish_reason, malformed SSE markeert stream als incomplete, cancelled/incomplete responses worden niet opgenomen in history, throttlingpositie is onderbouwd en Apply is uitgeschakeld bij niet-normale finish_reason.
C18;Afgerond 2 / v0.4-implementatie;Streaming responses en reasoning-output implementeren;NFR-2, NFR-3, OC-1, OC-3, OC-6, OC-7, OC-8, OC-9;Done;4–8 dagen;Implementeer het technische ontwerp in kleine stappen: streaming DTO’s, StreamChatAsync, SSE-parser, non-streaming fallback, cancellation/incomplete handling, mutable ChatMessageDisplay, throttled UI-updates, reasoningweergave en Apply-safety. Reasoning wordt alleen getoond wanneer reasoning_content daadwerkelijk ontvangen is en wordt niet opgeslagen in conversatiegeschiedenis. Apply blijft uitgeschakeld tijdens streaming, bij incomplete/cancelled responses en bij niet-normale finish_reason zoals length of content_filter.
C19;Afgerond / Consistentie / onderhoudbaarheid v0.4;Backendconfiguratie hernoemen en verduidelijken in code, Options-dialog en documentatie;OC-4, OC-6, OC-7, FR backendconfiguratie, SDD architectuur, gebruikershandleiding;Done;2–4 uur;Het huidige OllamaClient-pad gebruikt feitelijk een OpenAI-compatible /v1-profiel (/v1/chat/completions, /v1/models) zonder Authorization-header en werkt daardoor ook met LM Studio. OpenWebUIClient gebruikt aparte /api-paden met Bearer-tokenondersteuning. De huidige naamgeving kan gebruikers verwarren. Hernoem het generieke profiel naar OpenAI-compatible, werk Options-dialog, tests en documentatie bij, introduceer géén aparte LmStudioClient en behoud backward compatibility voor bestaande Ollama-instellingen.
C20;Documentatie / v0.4;Technische documentatie voor streaming responses, reasoning mode en backendprofielen uitwerken;SDD architectuur, gebruikershandleiding, OC-1, OC-3, OC-6, OC-7, OC-9;Done;1–2 dagen;Werk de protocolspike en technische implementatie uit tot volledige documentatie met configuratiematrix, HTTP/JSON-voorbeelden, PlantUML sequence/component/state-diagrammen, backendprofielen, fallbackgedrag, max-tokenpresets, historyregels, Apply-safety, testbewijs en known limitations. Documenteer expliciet dat enable_thinking best-effort is, LM Studio via het OpenAI-compatible profiel werkt en OpenWebUI een apart /api-profiel gebruikt.
