Version;Date;"	Type";"	Component";Summary;"	Details"
0.4;16/05/2026;Feature;Streaming;SSE streaming responses toegevoegd met real-time token-voor-token weergave.;Chat-antwoorden worden nu via Server-Sent Events gestreamd naar de UI. ChatMessageDisplay is uitgebreid met AppendToken()/AppendReasoning(), een DispatcherTimer-throttle (150 ms) en streaming-state flags (IsStreaming, IsCancelled, IsIncomplete). De gebruiker kan een actieve stream annuleren via de Cancel-knop. ILlmClient heeft een nieuwe StreamChatAsync()-methode naast de bestaande SendChatAsync().
0.4;16/05/2026;Feature;Reasoning;Best-effort reasoning mode toegevoegd met inklapbaar reasoning-blok in de chat-UI.;Via de instelling EnableReasoningMode wordt het veld enable_thinking meegestuurd in het API-verzoek. Reasoning-tokens uit het reasoning_content-veld worden weergegeven in een inklapbaar Expander-blok per assistant-bubble. Voor OpenWebUI wordt het veld weggelaten (null) om HTTP 4xx te voorkomen bij backends die onbekende velden afwijzen.
0.4;16/05/2026;Feature;Options;Configureerbare max tokens preset en streaming/reasoning toggles toegevoegd aan optiepagina.;Drie nieuwe instellingen op de LocalLLMOptionsPage: MaxTokensPreset (Standard 2048 / Extended 4096 / Large 8192), EnableStreamingResponses (bool) en EnableReasoningMode (bool). De vaste NumPredict-constante is vervangen door de configureerbare MaxTokensPreset-enum.
0.4;16/05/2026;Refactor;ChatWindow UI;Settings-grid herindeling: URL verwijderd, streaming/reasoning/max tokens weergave toegevoegd.;"De URL-weergave is verwijderd uit het settings-grid (al zichtbaar in de statusbalk). Vervangen door een 3-kolom layout: kolom 1 toont Model, Max tokens en Context gestapeld; kolom 2 toont Streaming en Reasoning (On/Off via BoolToOnOffConverter); kolom 3 bevat de Open Settings-knop rechts uitgelijnd."
0.4;16/05/2026;Feature;ChatMessageDisplay;IDisposable geïmplementeerd als safety net voor DispatcherTimer-levenscyclus.;ChatMessageDisplay implementeert nu IDisposable. Bij Dispose() wordt de render-timer gestopt, ook als FinalizeStream() nooit is aangeroepen (bijv. bij een exception-pad). RemoveActiveStreamMessage() roept nu expliciet Dispose() aan na finalisatie.
0.4;17/05/2026;Docs;Solution-breed;Documentatie bijgewerkt naar v0.4: SDD §6.5, SBOM, handleiding en feature-documentatie.;"SDD uitgebreid met §6.5 ""HTTP- en API-communicatie met LLM-backends"" (8 subparagrafen). SBOM opgehoogd naar v0.4 met +2 NuGet-pakketten en +2 risico's. Handleiding bijgewerkt met nieuwe Options-velden, streaming/reasoning instructies, §7.7 Reasoning-blok en 2 troubleshooting-rijen. Feature-specificatie, protocol spike report en technical design toegevoegd."
0.4;2026-05-17;Feature + Fix;PromptOrchestrator, ChatWindowViewModel, IContextSettings, LocalLLMOptionsPage;"C14: system prompt gesplitst in vaste protocolprompt + configureerbare AdditionalInstruction; session-boundary fix voor promptwijzigingen";PromptOrchestrator.SystemPrompt vervangen door FixedProtocolPrompt + ComposeSystemPrompt(). AdditionalInstruction property toegevoegd aan IContextSettings, InMemoryContextSettings, LocalLLMOptionsPage en SettingsProxy. ChatWindowViewModel wist nu history bij wijziging van AdditionalInstruction (naast ModelName/BaseUrl/ConnectionType). Infomelding bijgewerkt. C12 (polymorf contextmodel) geanalyseerd en uitgesteld: niet vereist voor MVP v0.4. 454 tests, 0 failures (was 419).
0.4;17/05/2026;Feature;PromptOrchestrator, LocalLLMOptionsPage;Configureerbare systeemprompt toegevoegd naast vaste protocolprompt.;De vaste protocolregels zijn gescheiden van een configureerbare aanvullende instructie. PromptOrchestrator gebruikt nu een FixedProtocolPrompt met niet-wijzigbare veiligheids- en contextregels en combineert deze met een instelbare AdditionalInstruction. De instelling is toegevoegd aan IContextSettings, InMemoryContextSettings, LocalLLMOptionsPage en SettingsProxy. Bij wijziging van de aanvullende instructie wordt de gesprekshistorie gewist om vermenging van oude en nieuwe promptcontext te voorkomen.
0.4;17/05/2026;Test;Testsuite;Testsuite uitgebreid en aangepast voor v0.4-functionaliteit.;De automatische tests zijn uitgebreid voor streaming, reasoning, promptconfiguratie, session-boundary gedrag, backendprofielen en apply-safety. Bestaande tests zijn bijgewerkt na de overgang van OllamaClient naar OpenAICompatibleClient. De testsuite groeide van 419 naar 454 succesvolle tests zonder failures.
0.4;19/05/2026;Feature + UI;Visual Studio theming;Dynamic theming toegevoegd voor betere aansluiting op Visual Studio-thema’s.;De UI volgt nu dynamisch het actieve Visual Studio-thema. Theme-wijzigingen worden tijdens runtime opgepakt, waardoor de interface meeschakelt bij wisselen tussen light en dark mode. De chatbubbles behouden een vaste tint om de rolverdeling tussen gebruiker en assistant consistent herkenbaar te houden. Voor themaherkenning is een luminance-fallback toegevoegd wanneer GUID-detectie geen match vindt.
0.4;19/05/2026;Bugfix;Streaming UI;Contrast van streaming placeholder verbeterd in dark mode.;De placeholdertekst die tijdens streaming wordt getoond had in dark mode onvoldoende contrast door een oranje tint. De kleur is aangepast naar een beter leesbare donkere of neutrale tekstkleur, zodat de placeholder ook bij het crème assistant-bubble ontwerp voldoende contrast houdt.
0.4;19/05/2026;Feature;MarkdownRenderer;Markdown table support toegevoegd aan chatweergave.;Markdown-tabellen uit LLM-antwoorden worden niet langer als platte tekst weergegeven. De Markdown-rendering is uitgebreid zodat tabelstructuren herkenbaar en leesbaar worden weergegeven in de chat-UI. Hiermee worden antwoorden met kolommen, vergelijkingen en compacte overzichten beter bruikbaar binnen de extensie.
